iter,converge
1,0.89484111373083952
2,0.65955153946782308
3,0.47049090596975812
4,0.33107971818758059
5,0.23188812186913768
6,0.16216835134525162
7,0.11333017433046373
8,0.079145223123357852
9,0.055223634871772002
10,0.038490657051219949
11,0.026792831400944104
12,0.018620668643779141
13,0.012915714377826577
14,0.0089360066902741779
15,0.0061618446674716774
16,0.0042296038210858488
17,0.0028852139861947029
18,0.0019514972799783013
19,0.0013053274415225746
20,0.00086182211203657559
